name,edition,stock,price
"Agadeem´s Awakening // Agadeem, the Undercrypt - foil",Zendikar Rising,2,499
"Agadeem´s Awakening // Agadeem, the Undercrypt",Zendikar Rising,4,399
Skyclave Apparition - foil,Zendikar Rising,1,375
Ancient Greenwarden - foil,Zendikar Rising,3,275
Skyclave Apparition,Zendikar Rising,6,275
Ancient Greenwarden,Zendikar Rising,4,249
"Turntimber Symbiosis // Turntimber, Serpentine Wood",Zendikar Rising,8,225
"Sea Gate Restoration // Sea Gate, Reborn - foil",Zendikar Rising,1,199
"Shatterskull Smashing // Shatterskull, the Hammer Pass",Zendikar Rising,4,199
Forsaken Monument - foil,Zendikar Rising,3,189
"Ashaya, Soul of the Wild",Zendikar Rising,6,175
Clearwater Pathway // Murkwater Pathway - foil,Zendikar Rising,4,149
Forsaken Monument,Zendikar Rising,4,139
Riverglide Pathway // Lavaglide Pathway - foil,Zendikar Rising,4,139
Scourge of the Skyclaves - foil,Zendikar Rising,4,449
Scourge of the Skyclaves,Zendikar Rising,12,375
"Omnath, Locus of Creation",Zendikar Rising,6,299
Lithoform Engine - foil,Zendikar Rising,4,275
"Turntimber Symbiosis // Turntimber, Serpentine Wood - foil",Zendikar Rising,3,275
Lithoform Engine,Zendikar Rising,8,249
"Ashaya, Soul of the Wild - foil",Zendikar Rising,4,199
"Sea Gate Restoration // Sea Gate, Reborn",Zendikar Rising,4,199
"Shatterskull Smashing // Shatterskull, the Hammer Pass - foil",Zendikar Rising,2,199
Sea Gate Stormcaller - foil,Zendikar Rising,4,189
Nissa of Shadowed Boughs - foil,Zendikar Rising,4,175
Clearwater Pathway // Murkwater Pathway,Zendikar Rising,12,139
Lotus Cobra - foil,Zendikar Rising,2,139
"Moraug, Fury of Akoum",Zendikar Rising,6,125
Cragcrown Pathway // Timbercrown Pathway - foil,Zendikar Rising,4,109
"Emeria´s Call // Emeria, Shattered Skyclave",Zendikar Rising,3,109
Riverglide Pathway // Lavaglide Pathway,Zendikar Rising,12,109
Branchloft Pathway // Boulderloft Pathway - foil,Zendikar Rising,4,99
Cragcrown Pathway // Timbercrown Pathway,Zendikar Rising,8,99
Leyline Tyrant,Zendikar Rising,4,99
Nighthawk Scavenger,Zendikar Rising,12,99
Branchloft Pathway // Boulderloft Pathway,Zendikar Rising,8,89
Needleverge Pathway // Pillarverge Pathway - foil,Zendikar Rising,2,89
Thieving Skydiver - foil,Zendikar Rising,2,79
"Nahiri, Heir of the Ancients - foil",Zendikar Rising,1,75
"Drana, the Last Bloodchief - foil",Zendikar Rising,1,69
"Drana, the Last Bloodchief",Zendikar Rising,6,65
Scute Swarm - foil,Zendikar Rising,4,65
"Nahiri, Heir of the Ancients",Zendikar Rising,6,59
Leyline Tyrant - foil,Zendikar Rising,4,109
Sea Gate Stormcaller,Zendikar Rising,12,109
Brightclimb Pathway // Grimclimb Pathway - foil,Zendikar Rising,2,99
"Jace, Mirror Mage - foil",Zendikar Rising,3,99
Lotus Cobra,Zendikar Rising,12,99
Nissa of Shadowed Boughs,Zendikar Rising,12,99
Brightclimb Pathway // Grimclimb Pathway,Zendikar Rising,6,89
Angel of Destiny - foil,Zendikar Rising,2,79
Glasspool Mimic // Glasspool Shore - foil,Zendikar Rising,1,75
Needleverge Pathway // Pillarverge Pathway,Zendikar Rising,8,75
